drug_Smiles,drug_ATC,drug_Name
CC(C)C(C(=O)NCC(=O)NC(CCCCN)C(=O)NC(CCCCN)C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCNC(=N)N)C(=O)N1CCCC1C(=O)NC(C(C)C)C(=O)NC(CCCCN)C(=O)NC(C(C)C)C(=O)NC(CC2=CC=C(C=C2)O)C(=O)N3CCCC3C(=O)O)NC(=O)C4CCCN4C(=O)C(CCCCN)NC(=O)CNC(=O)C(CC5=CNC6=CC=CC=C65)NC(=O)C(CCCNC(=N)N)NC(=O)C(CC7=CC=CC=C7)NC(=O)C(CC8=CNC=N8)NC(=O)C(CCC(=O)O)NC(=O)C(CCSC)NC(=O)C(CO)NC(=O)C(CC9=CC=C(C=C9)O)NC(=O)C(CO)N,H01AA02,Cosyntropin
CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)N.COC1=CC(=CC(=C1OC)OC)CC2=CN=C(N=C2N)N,J01EE01,Co-Trimoxazole
CC1CC(CC(C1)(C)C)OC(=O)C(C2=CC=CC=C2)O,C04AX01,Cyclandelate
C1CNP(=O)(OC1)N(CCCl)CCCl.O,L01AA01,Cyclophosphamide
CN(C)N=NC1=C(NC=N1)C(=O)N,L01AX04,Dacarbazine
CC12CCC3C(C1CCC2(C#C)O)CCC4=CC5=C(CC34C)C=NO5,G03XA01,Danazol
CN(C)C1C2CC3C(C4=C(C=CC(=C4C(=C3C(=O)C2(C(=C(C1=O)C(=O)N)O)O)O)O)Cl)O.Cl,D06AA01,Demeclocycline hydrochloride
CN(C)C1C2CC3C(C4=C(C=CC(=C4C(=C3C(=O)C2(C(=C(C1=O)C(=O)N)O)O)O)O)Cl)O.Cl, J01AA01,Demeclocycline hydrochloride
C1CC(N(C1)C(=O)C2CSSCCC(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N2)CC(=O)N)CCC(=O)N)CC3=CC=CC=C3)CC4=CC=C(C=C4)O)C(=O)NC(CCCN=C(N)N)C(=O)NCC(=O)N,H01BA02,Desmopressin
CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C,A01AC02,Dexamethasone
CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C, C05AA09,Dexamethasone
CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C, D07AB19,Dexamethasone
CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C, D07XB05,Dexamethasone
CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C, D10AA03,Dexamethasone
CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C, H02AB02,Dexamethasone
CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C, R01AD03,Dexamethasone
CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C, S01BA01,Dexamethasone
CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C, S01CB01,Dexamethasone
CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C, S02BA06,Dexamethasone
CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C, S03BA01,Dexamethasone
CC1=NS(=O)(=O)C2=C(N1)C=CC(=C2)Cl,C02DA01,Diazoxide
CC1=NS(=O)(=O)C2=C(N1)C=CC(=C2)Cl, V03AH01,Diazoxide
CC1=C(N=CN1)CSCCNC(=NC)NC#N,A02BA01,Cimetidine
C1CC(OC1CO)N2C=NC3=C2N=CNC3=O,J05AF02,Didanosine
CC1CCC(CC1=CC=C2CCCC3(C2CCC3C(C)C=CC(C)C(C)C)C)O,A11CC02,Dihydrotachysterol
C1CCN(CC1)C2=NC(=NC3=C2N=C(N=C3N4CCCCC4)N(CCO)CCO)N(CCO)CCO,B01AC07,Dipyridamole
CC(C)N(CCC(C1=CC=CC=C1)(C2=CC=CC=N2)C(=O)N)C(C)C,C01BA03,Disopyramide
CCCC(CCC)C(=O)O.CCCC(CCC)C(=O)[O-].[Na+],N03AG01,Divalproex sodium
CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)[O-].[Na+],A06AA02,Docusate sodium
C1CN(CC=C1N2C3=CC=CC=C3NC2=O)CCCC(=O)C4=CC=C(C=C4)F,N05AD08,Droperidol
CCN1C=C(C(=O)C2=CC(=C(N=C21)N3CCNCC3)F)C(=O)O,J01MA04,Enoxacin
C1C2=NN=CN2C3=C(C=C(C=C3)Cl)C(=N1)C4=CC=CC=C4,N05CD04,Estazolam
CC12CCC3C(C1CCC2=O)CCC4=C3C=CC(=C4)OS(=O)(=O)[O-].[Na+],G03CA07,Estrone sodium sulfate
CC12CCC3C(C1CCC2=O)CCC4=C3C=CC(=C4)OS(=O)(=O)[O-].[Na+], G03CC04,Estrone sodium sulfate
CC(O)(P(=O)(O)[O-])P(=O)(O)[O-].[Na+].[Na+],M05BA01,Etidronate disodium
CCC1=C2C(=CC=C1)C3=C(N2)C(OCC3)(CC)CC(=O)O,M01AB08,Etodolac
CCOC(=O)C=C(C)C=CC=C(C)C=CC1=C(C(=C(C=C1C)OC)C)C,D05BB01,Etretinate
CC(=O)OCC(CCN1C=NC2=CN=C(N=C21)N)COC(=O)C,J05AB09,Famciclovir
CC(=O)OCC(CCN1C=NC2=CN=C(N=C21)N)COC(=O)C, S01AD07,Famciclovir
CCOC(=O)C1=C(NC(=C(C1C2=C(C(=CC=C2)Cl)Cl)C(=O)OC)C)C,C08CA02,Felodipine
CCC(=O)N(C1CCN(CC1)CCC2=CC=CC=C2)C3=CC=CC=C3,N01AH01,Fentanyl
