CanSmiles,ATC_L1,Drug_Name
CC1OCC2C(O1)C(C(C(O2)OC3C4COC(=O)C4C(C5=CC6=C(C=C35)OCO6)C7=CC(=C(C(=C7)OC)O)OC)O)O,L01CB01,Etoposide
CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,C01EB16,Ibuprofen
CC(C)CC1=CC=C(C=C1)C(C)C(=O)O, G02CC01,Ibuprofen
CC(C)CC1=CC=C(C=C1)C(C)C(=O)O, M01AE01,Ibuprofen
CC(C)CC1=CC=C(C=C1)C(C)C(=O)O, M02AA13,Ibuprofen
CC(C)CC1=CC=C(C=C1)C(C)C(=O)O, R02AX02,Ibuprofen
CN1C(=C(C2=CC=CC=C2S1(=O)=O)O)C(=O)NC3=CC=CC=N3,M01AC01,Piroxicam
CN1C(=C(C2=CC=CC=C2S1(=O)=O)O)C(=O)NC3=CC=CC=N3, M02AA07,Piroxicam
CN1C(=C(C2=CC=CC=C2S1(=O)=O)O)C(=O)NC3=CC=CC=N3, S01BC06,Piroxicam
CC(CCCC(C)(C)O)C1CCC2C1(CCCC2=CC=C3CC(CC(C3=C)O)O)C,A11CC04,Calcitriol
CC(CCCC(C)(C)O)C1CCC2C1(CCCC2=CC=C3CC(CC(C3=C)O)O)C, D05AX03,Calcitriol
C1=CC(=C(C=C1C2=C(C=C(C=C2)F)F)C(=O)O)O,N02BA11,Diflunisal
CCN(CC)C(=S)SSC(=S)N(CC)CC,N07BB01,Disulfiram
CCN(CC)C(=S)SSC(=S)N(CC)CC, P03AA04,Disulfiram
CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,M01AE03,Ketoprofen
CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O, M02AA10,Ketoprofen
C1=CC(=CC(=C1)O)O,D10AX02,Resorcinol
C1=CC(=CC(=C1)O)O, S01AX06,Resorcinol
CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC,P02CA03,Albendazole
C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F,N05AD01,Haloperidol
CC(C)O,D08AX05,Isopropyl alcohol
CN1C2CC(CC1C3C2O3)OC(=O)C(CO)C4=CC=CC=C4,A04AD01,Scopolamine
CN1C2CC(CC1C3C2O3)OC(=O)C(CO)C4=CC=CC=C4, N05CM05,Scopolamine
CN1C2CC(CC1C3C2O3)OC(=O)C(CO)C4=CC=CC=C4, S01FA02,Scopolamine
COC1=C2C(=CC3=C1OC=C3)C=CC(=O)O2,D05AD02,Methoxsalen
COC1=C2C(=CC3=C1OC=C3)C=CC(=O)O2, D05BA02,Methoxsalen
CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)O)C)C)O)(C)O,D10AF02,Erythromycin
CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)O)C)C)O)(C)O, J01FA01,Erythromycin
CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)O)C)C)O)(C)O, S01AA17,Erythromycin
CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,C01EB03,Indomethacin
CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O, M01AB01,Indomethacin
CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O, M02AA23,Indomethacin
CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O, S01BC01,Indomethacin
CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O,L01BA01,Methotrexate
CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O, L04AX03,Methotrexate
C1=CN=C(C=N1)C(=O)N,J04AK01,Pyrazinamide
COC1=CC(=CC(=C1OC)OC)CC2=CN=C(N=C2N)N,J01EA01,Trimethoprim
CN1C2CCC1CC(C2)OC(=O)C(CO)C3=CC=CC=C3,A03BA03,Hyoscyamine
CC1=C(C(=O)C2=CC=CC=C2C1=O)CC=C(C)CCCC(C)CCCC(C)CCCC(C)C,B02BA01,Phytonadione
CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)O)C,M01AG01,Mefenamic acid
C1=C(C=C(C=C1O)O)O,A03AX12,Phloroglucinol
C1C(C(OC1N2C=NC3=C2NC=NCC3O)CO)O,L01XX08,Pentostatin
CC1(C2CCC3(C(C2(CCC1O)C)C(=O)C=C4C3(CCC5(C4CC(CC5)(C)C(=O)O)C)C)C)C,D03AX10,Glycyrrhetinic acid
CC1(C2CCC3(C(C2(CCC1OC4C(C(C(C(O4)C(=O)O)O)O)OC5C(C(C(C(O5)C(=O)O)O)O)O)C)C(=O)C=C6C3(CCC7(C6CC(CC7)(C)C(=O)O)C)C)C)C,A05BA08,Glycyrrhizin
CC1=CC=C(C=C1)C(=O)C2=CC=C(N2C)CC(=O)[O-].O.O.[Na+],M01AB03,Tolmetin sodium
CC1=CC=C(C=C1)C(=O)C2=CC=C(N2C)CC(=O)[O-].O.O.[Na+], M02AA21,Tolmetin sodium
C(CCC(=O)O)CCN,B02AA01,Aminocaproic acid
C1=NC2=C(N1)C(=S)N=CN2.O,L01BB02,Mercaptopurine
C1=CC(=C(C=C1N)O)C(=O)O,J04AA01,Aminosalicylic acid
CC(CCC(=O)O)C1CCC2C1(CCC3C2C(CC4C3(CCC(C4)O)C)O)C,A05AA01,Chenodiol
CCCCCCCCCCCCCCCC(=O)OCC=C(C)C=CC=C(C)C=CC1=C(CCCC1(C)C)C,A11CA01,Retinol palmitate
CCCCCCCCCCCCCCCC(=O)OCC=C(C)C=CC=C(C)C=CC1=C(CCCC1(C)C)C, D10AD02,Retinol palmitate
CCCCCCCCCCCCCCCC(=O)OCC=C(C)C=CC=C(C)C=CC1=C(CCCC1(C)C)C, R01AX02,Retinol palmitate
CCCCCCCCCCCCCCCC(=O)OCC=C(C)C=CC=C(C)C=CC1=C(CCCC1(C)C)C, S01XA02,Retinol palmitate
CC(=O)OCC(=O)C1(CCC2C1(CC(C3C2CCC4=CC(=O)CCC34C)O)C)O,A01AC03,Hydrocortisone acetate
CC(=O)OCC(=O)C1(CCC2C1(CC(C3C2CCC4=CC(=O)CCC34C)O)C)O, A07EA02,Hydrocortisone acetate
CC(=O)OCC(=O)C1(CCC2C1(CC(C3C2CCC4=CC(=O)CCC34C)O)C)O, C05AA01,Hydrocortisone acetate
CC(=O)OCC(=O)C1(CCC2C1(CC(C3C2CCC4=CC(=O)CCC34C)O)C)O, D07AA02,Hydrocortisone acetate
CC(=O)OCC(=O)C1(CCC2C1(CC(C3C2CCC4=CC(=O)CCC34C)O)C)O, D07XA01,Hydrocortisone acetate
CC(=O)OCC(=O)C1(CCC2C1(CC(C3C2CCC4=CC(=O)CCC34C)O)C)O, H02AB09,Hydrocortisone acetate
CC(=O)OCC(=O)C1(CCC2C1(CC(C3C2CCC4=CC(=O)CCC34C)O)C)O, S01BA02,Hydrocortisone acetate
CC(=O)OCC(=O)C1(CCC2C1(CC(C3C2CCC4=CC(=O)CCC34C)O)C)O, S01CB03,Hydrocortisone acetate
CC(=O)OCC(=O)C1(CCC2C1(CC(C3C2CCC4=CC(=O)CCC34C)O)C)O, S02BA01,Hydrocortisone acetate
