drug_Smiles,drug_ATC,drug_Name
CC12CC(C3(C(C1CC(C2(C(=O)CO)O)O)CCC4=CC(=O)C=CC43C)F)O, R03BA06,Triamcinolone
CC12CC(C3(C(C1CC(C2(C(=O)CO)O)O)CCC4=CC(=O)C=CC43C)F)O, S01BA05,Triamcinolone
C(C(CO)(CO)N)O,B05BB03,Tromethamine
C(C(CO)(CO)N)O, B05XX02,Tromethamine
CCCC(CCC)C(=O)O,N03AG01,Valproic acid
CC(CC1=CC(=C(C=C1)O)O)(C(=O)O)N.CC(CC1=CC(=C(C=C1)O)O)(C(=O)O)N.O.O.O,C02AB01,Methyldopa
C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)N.O,J05AB03,Vidarabine
C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)N.O, S01AD06,Vidarabine
CC1CC2C3CCC(C3(CC(C2C4(C1=CC(=O)C=C4)C)O)C)(C(=O)CO)O,D07AA01,Methylprednisolone
CC1CC2C3CCC(C3(CC(C2C4(C1=CC(=O)C=C4)C)O)C)(C(=O)CO)O, D10AA02,Methylprednisolone
CC1CC2C3CCC(C3(CC(C2C4(C1=CC(=O)C=C4)C)O)C)(C(=O)CO)O, H02AB04,Methylprednisolone
CC12CCC(=O)C=C1CCC3C2CCC4(C3CCC4(C)O)C,G03BA02,Methyltestosterone
CC12CCC(=O)C=C1CCC3C2CCC4(C3CCC4(C)O)C, G03EK01,Methyltestosterone
CC1=NC=C(N1CCO)[N+](=O)[O-],A01AB17,Metronidazole
CC1=NC=C(N1CCO)[N+](=O)[O-], D06BX01,Metronidazole
CC1=NC=C(N1CCO)[N+](=O)[O-], G01AF01,Metronidazole
CC1=NC=C(N1CCO)[N+](=O)[O-], J01XD01,Metronidazole
CC1=NC=C(N1CCO)[N+](=O)[O-], P01AB01,Metronidazole
CNC(=C[N+](=O)[O-])NCCSCC1=CC=C(O1)CN(C)C,A02BA02,Ranitidine
CC1C=CC=C(C(=O)NC2=C(C3=C(C4=C(C(=C3O)C)OC(C4=O)(OC=CC(C(C(C(C(C(C1O)C)O)C)OC(=O)C)C)OC)C)C5=NC6(CCN(CC6)CC(C)C)N=C25)O)C,J04AB04,Rifabutin
CCCC(C)C1(C(=O)NC(=O)NC1=O)CC=C,N05CA06,Secobarbital
CCC(C)(C)C(=O)OC1CC(C=C2C1C(C(C=C2)C)CCC3CC(CC(=O)O3)O)C,C10AA01,Simvastatin
CC1=C(C(C(=C(N1)C)C(=O)OC)C2=CC=CC=C2[N+](=O)[O-])C(=O)OC,C08CA05,Nifedipine
CC1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O,J01MA01,Ofloxacin
CC1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O, S01AE01,Ofloxacin
CC1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O, S02AA16,Ofloxacin
CC(C(C1=CC=CC=C1)O)NC.Cl,R01BA02,Pseudoephedrine hydrochloride
CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)C6=CC=CC=C6)O)O)OC(=O)C7=CC=CC=C7)(CO4)OC(=O)C)O)C)OC(=O)C,L01CD01,Paclitaxel
CC1C2CC3=C(C1(CCN2CC=C(C)C)C)C=C(C=C3)O,N02AD01,Pentazocine
C1C(C2C(O1)C(CO2)O[N+](=O)[O-])O[N+](=O)[O-],C01DA08,Isosorbide dinitrate
C1C(C2C(O1)C(CO2)O[N+](=O)[O-])O[N+](=O)[O-], C05AE02,Isosorbide dinitrate
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,D11AX26,Caffeine
CN1C=NC2=C1C(=O)N(C(=O)N2C)C, N06BC01,Caffeine
CC1(OC2COC3(C(C2O1)OC(O3)(C)C)COS(=O)(=O)N)C,N03AX11,Topiramate
CCC1(CC(=O)NC1=O)C,N03AD01,Ethosuximide
CC12CCC3C(C1CCC2(C#C)O)CCC4=C3C=CC(=C4)O,G03CA01,Ethinyl estradiol
CC12CCC3C(C1CCC2(C#C)O)CCC4=C3C=CC(=C4)O, L02AA03,Ethinyl estradiol
CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N(C)C,N02BB03,Aminopyrine
